Genre,Publisher,Rank,Year,Global Sales,min(1),Name,North America Sales,% Europe,% Japan,% North America,% Other,Europe Sales,Japan Sales,Number of Video Games,Other Sales,Platform
Sports,Nintendo,1,2006,82.74,1,Wii Sports,41.49,35%,5%,50%,10%,29.02,3.77,1,8.46,Wii
Platform,Nintendo,2,1985,40.24,1,"Super Mario Bros,",29.08,9%,17%,72%,2%,3.58,6.81,1,0.77,NES
Racing,Nintendo,3,2008,35.82,1,Mario Kart Wii,15.85,36%,11%,44%,9%,12.88,3.79,1,3.31,Wii
Sports,Nintendo,4,2009,33,1,Wii Sports Resort,15.75,33%,10%,48%,9%,11.01,3.28,1,2.96,Wii
Role-Playing,Nintendo,5,1996,31.37,1,Pokemon Red/Pokemon Blue,11.27,28%,33%,36%,3%,8.89,10.22,1,1,GB
Puzzle,Nintendo,6,1989,30.26,1,Tetris,23.2,7%,14%,77%,2%,2.26,4.22,1,0.58,GB
Platform,Nintendo,7,2006,30.01,1,"New Super Mario Bros,",11.38,31%,22%,38%,10%,9.23,6.5,1,2.9,DS
Misc,Nintendo,8,2006,29.02,1,Wii Play,14.03,32%,10%,48%,10%,9.2,2.93,1,2.85,Wii
Platform,Nintendo,9,2009,28.62,1,"New Super Mario Bros, Wii",14.59,25%,16%,51%,8%,7.06,4.7,1,2.26,Wii
Shooter,Nintendo,10,1984,28.31,1,Duck Hunt,26.93,2%,1%,95%,2%,0.63,0.28,1,0.47,NES
Simulation,Nintendo,11,2005,24.76,1,Nintendogs,9.07,44%,8%,37%,11%,11,1.93,1,2.75,DS
Racing,Nintendo,12,2005,23.42,1,Mario Kart DS,9.81,32%,18%,42%,8%,7.57,4.13,1,1.92,DS
Role-Playing,Nintendo,13,1999,23.1,1,Pokemon Gold/Pokemon Silver,9,27%,31%,39%,3%,6.18,7.2,1,0.71,GB
Sports,Nintendo,14,2007,22.72,1,Wii Fit,8.94,35%,16%,39%,9%,8.03,3.6,1,2.15,Wii
Sports,Nintendo,15,2009,22,1,Wii Fit Plus,9.09,39%,12%,41%,8%,8.59,2.53,1,1.79,Wii
Misc,Microsoft Game Studios,16,2010,21.82,1,Kinect Adventures!,14.97,23%,1%,69%,8%,4.94,0.24,1,1.67,X360
Action,Take-Two Interactive,17,2013,21.4,1,Grand Theft Auto V,7.01,43%,5%,33%,19%,9.27,0.97,1,4.14,PS3
Action,Take-Two Interactive,18,2004,20.81,1,Grand Theft Auto: San Andreas,9.43,2%,2%,45%,51%,0.4,0.41,1,10.57,PS2
Platform,Nintendo,19,1990,20.61,1,Super Mario World,12.78,18%,17%,62%,3%,3.75,3.54,1,0.55,SNES
Misc,Nintendo,20,2005,20.22,1,Brain Age: Train Your Brain in Minutes a Day,4.75,46%,21%,23%,10%,9.26,4.16,1,2.05,DS
Role-Playing,Nintendo,21,2006,18.36,1,Pokemon Diamond/Pokemon Pearl,6.42,25%,33%,35%,7%,4.52,6.04,1,1.37,DS
Platform,Nintendo,22,1989,18.14,1,Super Mario Land,10.83,15%,23%,60%,2%,2.71,4.18,1,0.42,GB
Platform,Nintendo,23,1988,17.28,1,"Super Mario Bros, 3",9.54,20%,22%,55%,3%,3.44,3.84,1,0.46,NES
Action,Take-Two Interactive,24,2013,16.38,1,Grand Theft Auto V,9.63,32%,0%,59%,8%,5.31,0.06,1,1.38,X360
Action,Take-Two Interactive,25,2002,16.15,1,Grand Theft Auto: Vice City,8.41,34%,3%,52%,11%,5.49,0.47,1,1.78,PS2
Role-Playing,Nintendo,26,2002,15.85,1,Pokemon Ruby/Pokemon Sapphire,6.06,25%,34%,38%,3%,3.9,5.38,1,0.5,GBA
Role-Playing,Nintendo,27,2010,15.32,1,Pokemon Black/Pokemon White,5.57,21%,37%,36%,5%,3.28,5.65,1,0.82,DS
Puzzle,Nintendo,28,2005,15.3,1,Brain Age 2: More Training in Minutes a Day,3.44,35%,35%,22%,8%,5.36,5.32,1,1.18,DS
Racing,Sony Computer Entertainment,29,2001,14.98,1,Gran Turismo 3: A-Spec,6.85,34%,12%,46%,8%,5.09,1.87,1,1.16,PS2
Shooter,Activision,30,2011,14.76,1,Call of Duty: Modern Warfare 3,9.03,29%,1%,61%,9%,4.28,0.13,1,1.32,X360
Role-Playing,Nintendo,31,1998,14.64,1,Pok̩mon Yellow: Special Pikachu Edition,5.89,34%,21%,40%,4%,5.04,3.12,1,0.59,GB
Shooter,Activision,32,2010,14.64,1,Call of Duty: Black Ops,9.67,25%,1%,66%,8%,3.73,0.11,1,1.13,X360
Role-Playing,Nintendo,33,2013,14.35,1,Pokemon X/Pokemon Y,5.17,28%,30%,36%,6%,4.05,4.34,1,0.79,3DS
Shooter,Activision,34,2015,14.24,1,Call of Duty: Black Ops 3,5.77,41%,2%,41%,16%,5.81,0.35,1,2.31,PS4
Shooter,Activision,35,2012,14.03,1,Call of Duty: Black Ops II,4.99,42%,5%,36%,18%,5.88,0.65,1,2.52,PS3
Shooter,Activision,36,2012,13.73,1,Call of Duty: Black Ops II,8.25,31%,1%,60%,8%,4.3,0.07,1,1.12,X360
Shooter,Activision,37,2009,13.51,1,Call of Duty: Modern Warfare 2,8.52,27%,1%,63%,10%,3.63,0.08,1,1.29,X360
Shooter,Activision,38,2011,13.46,1,Call of Duty: Modern Warfare 3,5.54,43%,4%,41%,12%,5.82,0.49,1,1.62,PS3
Action,Take-Two Interactive,39,2001,13.1,1,Grand Theft Auto III,6.99,34%,2%,53%,10%,4.51,0.3,1,1.3,PS2
Fighting,Nintendo,40,2008,13.04,1,"Super Smash Bros, Brawl",6.75,20%,20%,52%,8%,2.61,2.66,1,1.02,Wii
Shooter,Activision,41,2010,12.73,1,Call of Duty: Black Ops,5.98,35%,4%,47%,14%,4.44,0.48,1,1.83,PS3
Simulation,Nintendo,42,2005,12.27,1,Animal Crossing: Wild World,2.55,29%,43%,21%,7%,3.52,5.33,1,0.88,DS
Racing,Nintendo,43,2011,12.21,1,Mario Kart 7,4.74,32%,22%,39%,7%,3.91,2.67,1,0.89,3DS
Shooter,Microsoft Game Studios,44,2007,12.14,1,Halo 3,7.97,23%,1%,66%,10%,2.83,0.13,1,1.21,X360
Action,Take-Two Interactive,45,2014,11.98,1,Grand Theft Auto V,3.8,48%,3%,32%,17%,5.81,0.36,1,2.02,PS4
Action,Nintendo,46,2009,11.9,1,Pokemon HeartGold/Pokemon SoulSilver,4.4,23%,33%,37%,6%,2.77,3.96,1,0.77,DS
Platform,Nintendo,47,1996,11.89,1,Super Mario 64,6.91,24%,16%,58%,2%,2.85,1.91,1,0.23,N64
Racing,Sony Computer Entertainment,48,2004,11.66,1,Gran Turismo 4,3.01,0%,9%,26%,65%,0.01,1.1,1,7.53,PS2
Platform,Nintendo,49,2007,11.52,1,Super Mario Galaxy,6.16,30%,10%,53%,7%,3.4,1.2,1,0.76,Wii
Role-Playing,Nintendo,50,2014,11.33,1,Pokemon Omega Ruby/Pokemon Alpha Sapphire,4.23,30%,27%,37%,6%,3.37,3.08,1,0.65,3DS
Adventure,Nintendo,51,1992,11.18,1,Super Mario Land 2: 6 Golden Coins,6.16,18%,24%,55%,3%,2.04,2.69,1,0.29,GB
Action,Take-Two Interactive,52,2008,11.02,1,Grand Theft Auto IV,6.76,28%,1%,61%,9%,3.1,0.14,1,1.03,X360
Racing,Sony Computer Entertainment,53,1997,10.95,1,Gran Turismo,4.02,35%,23%,37%,5%,3.87,2.54,1,0.52,PS
Platform,Nintendo,54,2011,10.79,1,Super Mario 3D Land,4.89,28%,20%,45%,7%,2.99,2.13,1,0.78,3DS
Racing,Sony Computer Entertainment,55,2010,10.77,1,Gran Turismo 5,2.96,45%,8%,27%,20%,4.88,0.81,1,2.12,PS3
Shooter,Activision,56,2009,10.69,1,Call of Duty: Modern Warfare 2,4.99,35%,4%,47%,15%,3.69,0.38,1,1.63,PS3
Action,Take-Two Interactive,57,2008,10.57,1,Grand Theft Auto IV,4.76,36%,4%,45%,15%,3.76,0.44,1,1.62,PS3
Platform,Nintendo,58,1993,10.55,1,Super Mario All-Stars,5.99,20%,20%,57%,3%,2.15,2.12,1,0.29,SNES
Role-Playing,Nintendo,59,2004,10.49,1,Pokemon FireRed/Pokemon LeafGreen,4.34,25%,30%,41%,3%,2.65,3.15,1,0.35,GBA
Platform,Nintendo,60,2004,10.42,1,Super Mario 64,5.08,30%,12%,49%,9%,3.11,1.25,1,0.98,DS
Misc,Ubisoft,61,2011,10.26,1,Just Dance 3,6.05,31%,0%,59%,10%,3.15,0,1,1.07,Wii
Shooter,Activision,62,2013,10.21,1,Call of Duty: Ghosts,6.72,26%,0%,66%,8%,2.63,0.04,1,0.82,X360
Shooter,Microsoft Game Studios,63,2010,9.88,1,Halo: Reach,7.03,20%,1%,71%,8%,1.98,0.08,1,0.78,X360
Racing,Nintendo,64,1996,9.87,1,Mario Kart 64,5.55,20%,23%,56%,2%,1.94,2.23,1,0.15,N64
Platform,Nintendo,65,2012,9.82,1,"New Super Mario Bros, 2",3.66,31%,25%,37%,6%,3.07,2.47,1,0.63,3DS
Shooter,Microsoft Game Studios,66,2012,9.76,1,Halo 4,6.63,24%,0%,68%,7%,2.36,0.04,1,0.73,X360
Role-Playing,Sony Computer Entertainment,67,1997,9.72,1,Final Fantasy VII,3.01,25%,34%,31%,10%,2.47,3.28,1,0.96,PS
Shooter,Activision,68,2013,9.59,1,Call of Duty: Ghosts,4.09,39%,4%,43%,14%,3.73,0.38,1,1.38,PS3
Misc,Ubisoft,69,2010,9.52,1,Just Dance 2,5.84,30%,0%,61%,8%,2.89,0.01,1,0.78,Wii
Racing,Sony Computer Entertainment,70,1999,9.49,1,Gran Turismo 2,3.88,36%,18%,41%,5%,3.42,1.69,1,0.5,PS
Shooter,Activision,71,2007,9.32,1,Call of Duty 4: Modern Warfare,5.91,26%,1%,63%,10%,2.38,0.13,1,0.9,X360
Platform,Nintendo,72,1994,9.3,1,Donkey Kong Country,4.36,18%,32%,47%,2%,1.71,3,1,0.23,SNES
Misc,Microsoft Game Studios,73,2013,9.2,1,Minecraft,5.58,31%,0%,61%,8%,2.83,0.02,1,0.77,X360
Simulation,Nintendo,74,2012,9.09,1,Animal Crossing: New Leaf,2.01,26%,48%,22%,5%,2.32,4.36,1,0.41,3DS
Misc,Nintendo,75,2007,9.02,1,Mario Party DS,4.46,21%,22%,49%,8%,1.88,1.98,1,0.7,DS
Role-Playing,Bethesda Softworks,76,2011,8.84,1,The Elder Scrolls V: Skyrim,5.03,32%,1%,57%,10%,2.86,0.1,1,0.85,X360
Racing,Nintendo,77,1992,8.76,1,Super Mario Kart,3.54,14%,43%,40%,2%,1.24,3.81,1,0.18,SNES
Sports,Electronic Arts,78,2015,8.49,1,FIFA 16,1.11,71%,1%,13%,15%,6.06,0.06,1,1.26,PS4
Misc,Nintendo,79,2010,8.49,1,Wii Party,1.79,42%,29%,21%,8%,3.53,2.49,1,0.68,Wii
Shooter,Microsoft Game Studios,80,2004,8.49,1,Halo 2,6.82,18%,1%,80%,1%,1.53,0.05,1,0.08,XB
Misc,Nintendo,81,2007,8.42,1,Mario Party 8,3.81,27%,19%,45%,9%,2.3,1.58,1,0.73,Wii
Role-Playing,Nintendo,82,2012,8.33,1,Pokemon Black 2/Pokemon White 2,2.91,22%,38%,35%,5%,1.86,3.14,1,0.43,DS
Action,Electronic Arts,83,2012,8.24,1,FIFA Soccer 13,1.06,61%,2%,13%,24%,5.05,0.13,1,2.01,PS3
Simulation,Electronic Arts,84,2009,8.11,1,The Sims 3,0.98,79%,0%,12%,9%,6.42,0,1,0.71,PC
Shooter,Nintendo,85,1997,8.09,1,GoldenEye 007,5.8,25%,2%,72%,2%,2.01,0.13,1,0.15,N64
Sports,Sega,86,2007,8.06,1,Mario & Sonic at the Olympic Games,2.58,48%,8%,32%,11%,3.9,0.66,1,0.91,Wii
Role-Playing,Sony Computer Entertainment,87,2001,8.05,1,Final Fantasy X,2.91,26%,34%,36%,4%,2.07,2.73,1,0.33,PS2
Role-Playing,SquareSoft,88,1999,7.86,1,Final Fantasy VIII,2.28,22%,46%,29%,3%,1.72,3.63,1,0.23,PS
Role-Playing,Nintendo,89,2008,7.84,1,Pok̩mon Platinum Version,2.82,23%,34%,36%,7%,1.78,2.69,1,0.55,DS
Puzzle,Atari,90,1982,7.81,1,Pac-Man,7.28,6%,0%,93%,1%,0.45,0,1,0.08,2600
Action,Take-Two Interactive,91,2005,7.72,1,Grand Theft Auto: Liberty City Stories,2.9,37%,3%,38%,23%,2.83,0.24,1,1.75,PSP
Platform,Nintendo,92,2010,7.69,1,Super Mario Galaxy 2,3.66,31%,13%,48%,8%,2.42,0.98,1,0.64,Wii
Shooter,Electronic Arts,93,2015,7.67,1,Star Wars Battlefront (2015),2.93,43%,3%,38%,16%,3.29,0.22,1,1.23,PS4
Shooter,Activision,94,2014,7.6,1,Call of Duty: Advanced Warfare,2.8,43%,2%,37%,18%,3.3,0.14,1,1.37,PS4
Action,Nintendo,95,1998,7.6,1,The Legend of Zelda: Ocarina of Time,4.1,25%,19%,54%,2%,1.89,1.45,1,0.16,N64
Platform,Sony Computer Entertainment,96,1997,7.58,1,Crash Bandicoot 2: Cortex Strikes Back,3.78,29%,17%,50%,4%,2.17,1.31,1,0.31,PS
Platform,Nintendo,97,1988,7.46,1,"Super Mario Bros, 2",5.39,16%,9%,72%,3%,1.18,0.7,1,0.19,NES
Fighting,Nintendo,98,2014,7.45,1,"Super Smash Bros, for Wii U and 3DS",3.24,18%,32%,43%,6%,1.35,2.42,1,0.43,3DS
Shooter,Activision,99,2008,7.37,1,Call of Duty: World at War,4.79,26%,0%,65%,9%,1.9,0,1,0.69,X360
Shooter,Electronic Arts,100,2011,7.34,1,Battlefield 3,4.46,29%,1%,61%,9%,2.13,0.06,1,0.69,X360
Action,Nintendo,101,2006,7.31,1,The Legend of Zelda: Twilight Princess,3.83,30%,8%,52%,10%,2.19,0.6,1,0.7,Wii
Shooter,Activision,102,2015,7.3,1,Call of Duty: Black Ops 3,4.52,29%,0%,62%,9%,2.09,0.01,1,0.67,XOne
Misc,Ubisoft,103,2009,7.27,1,Just Dance,3.51,42%,0%,48%,10%,3.03,0,1,0.73,Wii
Shooter,Electronic Arts,104,2011,7.23,1,Battlefield 3,2.85,41%,5%,39%,15%,2.93,0.35,1,1.1,PS3
Racing,Electronic Arts,105,2003,7.2,1,Need for Speed Underground,3.27,39%,1%,45%,14%,2.83,0.08,1,1.02,PS2
Fighting,Sony Computer Entertainment,106,1998,7.16,1,Tekken 3,3.27,31%,20%,46%,4%,2.22,1.4,1,0.29,PS
Platform,Sony Computer Entertainment,107,1998,7.13,1,Crash Bandicoot 3: Warped,3.68,25%,20%,52%,4%,1.75,1.42,1,0.28,PS
Fighting,Nintendo,108,2001,7.07,1,"Super Smash Bros, Melee",4.41,15%,20%,62%,3%,1.04,1.39,1,0.22,GC
Racing,Nintendo,109,2014,6.96,1,Mario Kart 8,3.13,30%,18%,45%,7%,2.07,1.27,1,0.49,WiiU
Role-Playing,Bethesda Softworks,110,2015,6.96,1,Fallout 4,2.47,45%,3%,35%,16%,3.15,0.24,1,1.1,PS4
Racing,Nintendo,111,2003,6.95,1,Mario Kart: Double Dash!!,4.12,25%,13%,59%,3%,1.77,0.87,1,0.19,GC
Misc,Ubisoft,112,2012,6.91,1,Just Dance 4,4.14,32%,0%,60%,8%,2.21,0,1,0.56,Wii
Sports,Electronic Arts,113,2013,6.9,1,FIFA 14,0.78,63%,1%,11%,25%,4.32,0.07,1,1.73,PS3
Racing,Electronic Arts,114,2004,6.9,1,Need for Speed Underground 2,2.71,44%,1%,39%,16%,3.02,0.08,1,1.09,PS2
Shooter,Electronic Arts,115,2002,6.83,1,Medal of Honor: Frontline,2.93,40%,2%,43%,14%,2.75,0.17,1,0.99,PS2
Action,Sony Computer Entertainment,116,2011,6.83,1,Uncharted 3: Drake's Deception,2.77,41%,3%,41%,16%,2.8,0.19,1,1.06,PS3
Platform,Sony Computer Entertainment,117,1996,6.82,1,Crash Bandicoot,3.23,34%,14%,47%,4%,2.35,0.94,1,0.3,PS
Sports,505 Games,118,2010,6.81,1,Zumba Fitness,3.5,39%,0%,51%,10%,2.64,0,1,0.67,Wii
Shooter,Microsoft Game Studios,119,2008,6.76,1,Gears of War 2,4.15,28%,1%,61%,9%,1.92,0.06,1,0.64,X360
Action,Sony Computer Entertainment,120,2009,6.73,1,Uncharted 2: Among Thieves,3.27,33%,3%,49%,15%,2.25,0.21,1,1,PS3
Shooter,Activision,121,2007,6.72,1,Call of Duty 4: Modern Warfare,3.1,34%,4%,46%,15%,2.3,0.28,1,1.04,PS3
Sports,Electronic Arts,122,2011,6.69,1,FIFA 12,0.84,65%,2%,13%,21%,4.32,0.11,1,1.42,PS3
Misc,Nintendo,123,2005,6.67,1,Big Brain Academy,1.67,42%,24%,25%,9%,2.78,1.6,1,0.62,DS
Action,Take-Two Interactive,124,2010,6.6,1,Red Dead Redemption,2.79,40%,3%,42%,16%,2.61,0.17,1,1.03,PS3
Sports,Electronic Arts,125,2014,6.59,1,FIFA 15,0.79,65%,1%,12%,22%,4.29,0.05,1,1.47,PS4
Platform,Nintendo,126,2010,6.59,1,Donkey Kong Country Returns,3.25,28%,16%,49%,7%,1.84,1.03,1,0.47,Wii
Role-Playing,Bethesda Softworks,127,2011,6.56,1,The Elder Scrolls V: Skyrim,2.55,41%,4%,39%,16%,2.71,0.25,1,1.05,PS3
Action,Nintendo,128,1986,6.51,1,The Legend of Zelda,3.74,14%,26%,57%,2%,0.93,1.69,1,0.14,NES
Action,Ubisoft,129,2012,6.5,1,Assassin's Creed III,2.64,39%,2%,41%,18%,2.56,0.16,1,1.14,PS3
Shooter,Microsoft Game Studios,130,2001,6.43,1,Halo: Combat Evolved,4.98,20%,1%,77%,1%,1.3,0.08,1,0.07,XB
Role-Playing,Nintendo,131,2004,6.41,1,Pok̩mon Emerald Version,2.57,25%,32%,40%,3%,1.58,2.06,1,0.21,GBA
Role-Playing,Sony Computer Entertainment,132,2002,6.4,1,Kingdom Hearts,3.64,19%,23%,57%,1%,1.2,1.49,1,0.07,PS2
Role-Playing,Nintendo,133,2000,6.39,1,Pok̩mon Crystal Version,2.55,24%,20%,40%,15%,1.56,1.29,1,0.99,GB
Shooter,Microsoft Game Studios,134,2009,6.36,1,Halo 3: ODST,4.34,21%,1%,68%,10%,1.35,0.06,1,0.61,X360
Action,Take-Two Interactive,135,2010,6.34,1,Red Dead Redemption,3.7,31%,1%,58%,9%,1.97,0.09,1,0.57,X360
Platform,Nintendo,136,2002,6.31,1,Super Mario Sunshine,4.01,20%,14%,64%,3%,1.26,0.87,1,0.17,GC
Fighting,Capcom,137,1992,6.3,1,Street Fighter II: The World Warrior,2.47,13%,46%,39%,2%,0.83,2.87,1,0.12,SNES
Role-Playing,Activision,138,2004,6.28,1,World of Warcraft,0.07,99%,0%,1%,0%,6.21,0,1,0,PC
Action,GT Interactive,139,1999,6.27,1,Driver,3.11,45%,0%,50%,5%,2.8,0.02,1,0.33,PS
Sports,Microsoft Game Studios,140,2010,6.24,1,Kinect Sports,3.92,29%,0%,63%,8%,1.78,0.03,1,0.51,X360
Shooter,Microsoft Game Studios,141,2011,6.24,1,Gears of War 3,4.05,26%,1%,65%,8%,1.62,0.07,1,0.49,X360
Shooter,Microsoft Game Studios,142,2006,6.11,1,Gears of War,3.54,31%,1%,58%,10%,1.9,0.07,1,0.6,X360
Action,Konami Digital Entertainment,143,2001,6.05,1,Metal Gear Solid 2: Sons of Liberty,2.45,33%,14%,40%,12%,2.01,0.87,1,0.72,PS2
Platform,Sega,144,1992,6.03,1,Sonic the Hedgehog 2,4.47,20%,3%,74%,3%,1.2,0.16,1,0.19,GEN
Action,Konami Digital Entertainment,145,2008,6.03,1,Metal Gear Solid 4: Guns of the Patriots,2.63,29%,14%,44%,14%,1.74,0.83,1,0.83,PS3
Action,Konami Digital Entertainment,146,1998,6.03,1,Metal Gear Solid,3.18,30%,13%,53%,4%,1.83,0.78,1,0.24,PS
Action,Sony Computer Entertainment Europe,147,2013,5.99,1,The Last of Us,2.41,38%,5%,40%,17%,2.28,0.28,1,1.01,PS3
Role-Playing,Square Enix,148,2006,5.95,1,Final Fantasy XII,1.88,0%,39%,32%,29%,0,2.33,1,1.74,PS2
Platform,Sony Computer Entertainment,149,2008,5.92,1,LittleBigPlanet,2.8,35%,3%,47%,15%,2.05,0.17,1,0.9,PS3
Role-Playing,Nintendo,150,2009,5.84,1,Dragon Quest IX: Sentinels of the Starry Skies,0.66,12%,74%,11%,3%,0.69,4.35,1,0.15,DS
Action,LucasArts,151,2007,5.83,1,LEGO Star Wars: The Complete Saga,3.66,28%,0%,63%,9%,1.63,0,1,0.53,Wii
Action,Virgin Interactive,152,1998,5.82,1,Resident Evil 2,1.88,25%,35%,32%,8%,1.47,2.02,1,0.45,PS
Fighting,Sony Computer Entertainment,153,1996,5.74,1,Tekken 2,2.26,33%,24%,39%,4%,1.89,1.36,1,0.23,PS
Simulation,505 Games,154,2006,5.72,1,Cooking Mama,3.13,34%,1%,55%,10%,1.94,0.07,1,0.58,DS
Shooter,Activision,155,2014,5.65,1,Destiny,2.49,36%,3%,44%,17%,2.05,0.16,1,0.96,PS4
Puzzle,Nintendo,156,1988,5.58,1,Tetris,2.97,12%,32%,53%,2%,0.69,1.81,1,0.11,NES
Action,Ubisoft,157,2009,5.57,1,Assassin's Creed II,2.54,35%,4%,46%,16%,1.95,0.21,1,0.87,PS3
Fighting,Nintendo,158,1999,5.55,1,"Super Smash Bros,",2.95,11%,35%,53%,1%,0.6,1.97,1,0.04,N64
Adventure,Ubisoft,159,2007,5.55,1,Assassin's Creed,3.28,30%,1%,59%,10%,1.65,0.07,1,0.55,X360
Action,"Warner Bros, Interactive Entertainment",160,2011,5.53,1,Batman: Arkham City,2.7,35%,2%,49%,14%,1.91,0.11,1,0.8,PS3
Racing,Microsoft Game Studios,161,2009,5.51,1,Forza Motorsport 3,2.99,35%,2%,54%,9%,1.92,0.1,1,0.51,X360
Role-Playing,Capcom,162,2008,5.5,1,Monster Hunter Freedom Unite,0.47,10%,75%,9%,6%,0.57,4.13,1,0.34,PSP
Platform,Nintendo,163,2001,5.49,1,Super Mario Advance,3.14,23%,17%,57%,4%,1.24,0.91,1,0.2,GBA
Racing,Nintendo,164,2001,5.47,1,Mario Kart: Super Circuit,2.62,30%,18%,48%,4%,1.64,0.99,1,0.23,GBA
Platform,Nintendo,165,2001,5.46,1,Super Mario World,3.21,20%,17%,59%,4%,1.11,0.95,1,0.2,GBA
Strategy,Nintendo,166,1999,5.45,1,Pokemon Stadium,3.18,23%,17%,58%,2%,1.24,0.94,1,0.09,N64
Shooter,Activision,167,2008,5.43,1,Call of Duty: World at War,2.72,34%,0%,50%,15%,1.87,0,1,0.84,PS3
Platform,Universal Interactive,168,2001,5.42,1,Crash Bandicoot: The Wrath of Cortex,2.07,42%,4%,38%,15%,2.29,0.24,1,0.82,PS2
Misc,Sony Computer Entertainment,169,2014,5.42,1,Minecraft,1.97,46%,0%,36%,17%,2.51,0,1,0.94,PS3
Role-Playing,Square Enix,170,2009,5.36,1,Final Fantasy XIII,1.74,23%,35%,32%,10%,1.24,1.87,1,0.52,PS3
Puzzle,Nintendo,171,1989,5.34,1,"Dr, Mario",2.18,18%,37%,41%,4%,0.96,2,1,0.2,GB
Misc,Nintendo,172,1999,5.31,1,Pokemon Pinball,3.02,21%,19%,57%,3%,1.12,1.01,1,0.16,GB
Action,Ubisoft,173,2012,5.3,1,Assassin's Creed III,3.13,32%,1%,59%,8%,1.71,0.03,1,0.44,X360
Role-Playing,SquareSoft,174,2000,5.3,1,Final Fantasy IX,1.62,15%,52%,31%,3%,0.77,2.78,1,0.14,PS
Role-Playing,Electronic Arts,175,2003,5.29,1,Final Fantasy X-2,1.92,20%,40%,36%,3%,1.08,2.11,1,0.17,PS2
Platform,Nintendo,176,1999,5.27,1,Donkey Kong 64,3.33,15%,21%,63%,1%,0.79,1.09,1,0.06,N64
Action,Ubisoft,177,2009,5.27,1,Assassin's Creed II,3.1,30%,2%,59%,10%,1.56,0.08,1,0.51,X360
Puzzle,Nintendo,178,2007,5.26,1,Professor Layton and the Curious Village,1.22,47%,20%,23%,10%,2.48,1.03,1,0.52,DS
Action,Eidos Interactive,179,1997,5.24,1,Tomb Raider II,2.3,47%,4%,44%,5%,2.46,0.2,1,0.28,PS
Sports,Electronic Arts,180,,5.23,1,Madden NFL 2004,4.26,5%,0%,81%,14%,0.26,0.01,1,0.71,PS2
Role-Playing,Square Enix,181,2004,5.21,1,Dragon Quest VIII: Journey of the Cursed King,0.65,14%,69%,12%,4%,0.75,3.61,1,0.2,PS2
Role-Playing,Activision,182,2012,5.2,1,Diablo III,2.43,41%,0%,47%,12%,2.15,0,1,0.62,PC
Platform,Nintendo,183,2003,5.2,1,"Super Mario Bros, 3",2.93,24%,16%,56%,4%,1.25,0.83,1,0.2,GBA
Platform,Nintendo,184,2012,5.19,1,"New Super Mario Bros, U",2.32,25%,24%,45%,6%,1.3,1.27,1,0.31,WiiU
Platform,Nintendo,185,1994,5.19,1,Super Mario Land 3: Wario Land,2.49,19%,30%,48%,3%,0.98,1.57,1,0.15,GB
Action,Electronic Arts,186,2012,5.18,1,FIFA Soccer 13,1.08,67%,1%,21%,11%,3.48,0.03,1,0.58,X360
Action,Nintendo,187,2007,5.17,1,The Legend of Zelda: Phantom Hourglass,1.9,35%,18%,37%,9%,1.83,0.95,1,0.49,DS
Platform,Nintendo,188,1995,5.15,1,Donkey Kong Country 2: Diddy's Kong Quest,2.1,14%,43%,41%,2%,0.74,2.2,1,0.11,SNES
Simulation,Nintendo,189,2013,5.15,1,Tomodachi Life,0.96,39%,37%,19%,5%,2.02,1.89,1,0.28,3DS
Sports,Sega,190,2008,5.14,1,Mario & Sonic at the Olympic Games,1.64,48%,9%,32%,11%,2.48,0.44,1,0.58,DS
Shooter,Electronic Arts,191,2003,5.13,1,Medal of Honor: Rising Sun,1.98,43%,3%,39%,16%,2.23,0.13,1,0.8,PS2
Platform,Nintendo,192,1992,5.13,1,Kirby's Dream Land,2.71,12%,33%,53%,2%,0.61,1.7,1,0.11,GB
Role-Playing,Microsoft Game Studios,193,2010,5.13,1,Fable III,3.59,22%,1%,70%,7%,1.11,0.05,1,0.38,X360
Shooter,Activision,194,2014,5.13,1,Call of Duty: Advanced Warfare,3.21,30%,0%,63%,7%,1.53,0.01,1,0.38,XOne
Simulation,Microsoft Game Studios,195,1996,5.12,1,Microsoft Flight Simulator,3.22,33%,0%,63%,4%,1.69,0,1,0.2,PC
Misc,RedOctane,196,2006,5.12,1,Guitar Hero II,3.81,12%,0%,74%,13%,0.63,0,1,0.68,PS2
Action,Capcom,197,2009,5.11,1,Resident Evil 5,1.96,28%,21%,38%,13%,1.43,1.08,1,0.65,PS3
Action,Take-Two Interactive,198,2014,5.08,1,Grand Theft Auto V,2.66,40%,0%,52%,8%,2.01,0,1,0.41,XOne
Action,Take-Two Interactive,199,2006,5.08,1,Grand Theft Auto: Vice City Stories,1.7,40%,3%,33%,24%,2.02,0.16,1,1.21,PSP
Sports,Electronic Arts,200,2010,5.08,1,FIFA Soccer 11,0.6,65%,1%,12%,22%,3.29,0.06,1,1.13,PS3
Platform,Nintendo,201,1999,5.07,1,"Super Mario Bros,",3.4,26%,3%,67%,4%,1.3,0.15,1,0.22,GB
Action,Virgin Interactive,202,1996,5.05,1,Resident Evil,2.05,23%,22%,41%,14%,1.16,1.11,1,0.73,PS
Sports,Activision,203,1999,5.02,1,Tony Hawk's Pro Skater,3.42,27%,0%,68%,4%,1.38,0.02,1,0.2,PS
